OBJECTID,ID,ADDRESS,TERMINAL_NUMBER,LATITUDE,LONGITUDE,INSTALLED,LOCKED,INSTALL_DATE,REMOVAL_DATE,TEMPORARY_INSTALL,NUMBER_OF_BIKES,NUMBER_OF_EMPTY_DOCKS,X,Y,SE_ANNO_CAD_DATA,OWNER
237709997,161,Key Blvd & N Quinn St,31027,38.896355,-77.078408,YES,NO,,,NO,6,5,393198.24035826,136503.59842391,,
237709998,162,1st & K St SE,31628,38.878854,-77.005727,YES,NO,,,NO,11,3,399503.07062433,134557.94595692,,DC
237709999,163,39th & Calvert St NW / Stoddert,31306,38.922649,-77.077271,YES,NO,,,NO,10,9,393299.34379144,139422.36308098,,DC
237710000,164,1st & Washington Hospital Center NW,31507,38.928743,-77.012457,YES,NO,,,NO,5,9,398919.86707704,140096.08692818,,DC
237710001,165,Virginia Square Metro / N Monroe St & 9th St N,31024,38.882788,-77.103148,YES,NO,,,NO,9,10,391050.38685989,134999.69056817,,
237710002,166,Central Library / N Quincy St & 10th St N,31025,38.88397,-77.10783,YES,NO,,,NO,1,10,390644.30934888,135131.37099114,,
237710003,167,Washington Blvd & 10th St N,31026,38.884734,-77.093485,YES,NO,,,NO,7,8,391889.01580315,135214.80848005,,
237710004,168,Jefferson Dr & 14th St SW,31247,38.888553,-77.032429,YES,NO,,,NO,10,12,397186.53186857,135635.0937417,,DC
237710005,169,Smithsonian-National Mall / Jefferson Dr & 12th St SW,31248,38.888767,-77.02858,YES,NO,,,NO,9,26,397520.46999936,135658.73782359,,DC
237710006,170,George Mason Dr & Wilson Blvd,31036,38.87887,-77.1207,YES,NO,,,NO,10,5,389526.91727648,134566.63015205,,
237710007,171,6th St & Indiana Ave NW,31264,38.894573,-77.01994,YES,NO,,,NO,15,1,398270.19576117,136303.05019148,,DC
237710008,172,N Veitch & Key Blvd,31028,38.893237,-77.086063,YES,NO,,,NO,1,10,392533.85610369,136158.07410917,,
237710009,173,Lee Hwy & N Adams St,31030,38.89593,-77.089006,YES,NO,,,NO,3,15,392278.83629398,136457.26307774,,
237710010,174,15th & N Scott St,31031,38.89054,-77.08095,YES,NO,,,NO,1,9,392977.15386494,135858.28028852,,
237710011,175,Washington Blvd & 7th St N,31032,38.88081,-77.090792,YES,NO,,,NO,5,6,392122.23367875,134778.97873842,,
237710012,176,Ballston Metro / N Stuart & 9th St N,31037,38.881044,-77.111768,YES,NO,,,NO,14,8,390302.23781937,134806.97373735,,
237710013,177,N Randolph St & Fairfax Dr,31034,38.882629,-77.109366,YES,NO,,,NO,6,5,390510.86258655,134982.66832544,,
237710014,178,Jefferson Memorial,31249,38.879819,-77.037413,YES,NO,,,NO,20,3,396753.73375318,134665.71792817,,DC
237710015,179,Good Hope Rd & 14th St SE,31803,38.866611,-76.985238,YES,NO,,,NO,8,7,401281.11228246,133198.96929326,,DC
237710016,180,Glebe Rd & 11th St N,31038,38.883921,-77.116817,YES,NO,,,NO,6,5,389864.56068615,135126.89103108,,
237710017,181,Wilson Blvd & N Quincy St,31039,38.880012,-77.107854,YES,NO,,,NO,4,11,390641.70793238,134692.00542591,,
237710018,182,GMU / Fairfax Dr & Kenmore St,31040,38.884616,-77.10108,YES,NO,,,NO,1,10,391230.0410303,135202.41180552,,
237710019,183,Gallaudet / 8th St & Florida Ave NE,31508,38.90509,-76.9941,YES,NO,,,NO,2,15,400511.75228339,137470.34907981,,DC
237710020,185,20th & L St NW,31250,38.903584,-77.044789,YES,NO,,,NO,9,10,396115.02439795,137304.10738551,,DC
237710021,186,12th & L St NW,31251,38.903819,-77.0284,YES,NO,,,NO,1,15,397536.60617,137329.6244241,,DC
237710022,187,21st St & Pennsylvania Ave NW,31252,38.901539,-77.046564,YES,NO,,,NO,5,14,395960.94600021,137077.17295375,,DC
237710023,188,19th & K St NW,31253,38.902204,-77.04337,YES,NO,,,NO,2,21,396238.03496422,137150.85682925,,DC
237710024,189,Prince St & Union St,31041,38.803124,-77.040363,YES,NO,,,NO,3,15,396494.00267968,126152.15218226,,
237710025,190,Market Square / King St & Royal St,31042,38.804718,-77.043363,YES,NO,,,NO,13,0,396233.50175862,126329.21564255,,
237710026,191,Saint Asaph St & Pendleton  St,31043,38.810743,-77.044664,YES,NO,,,NO,2,13,396120.82449056,126998.08315733,,
237710027,192,King St & Patrick St,31044,38.805317,-77.049883,YES,NO,,,NO,5,8,395667.21274018,126395.99762896,,
237710028,193,15th & K St NW,31254,38.902,-77.03353,YES,NO,,,NO,14,11,397091.55982715,137127.85168549,,DC
237710029,194,Commerce St & Fayette St,31045,38.805648,-77.05293,YES,NO,,,NO,1,14,395402.57471448,126432.8897394,,
237710030,195,Henry St & Pendleton St,31046,38.811456,-77.050276,YES,NO,,,NO,7,9,395633.45246838,127077.48415181,,
237710031,196,Braddock Rd Metro,31047,38.814577,-77.052808,YES,NO,,,NO,3,25,395413.7448307,127424.05927501,,
237710032,197,King St Metro South,31048,38.805767,-77.06072,YES,NO,,,NO,13,9,394725.95516096,126446.52067087,,
237710033,198,24th & N St NW,31255,38.9066,-77.05152,YES,NO,,,NO,10,5,395531.3698104,137639.21579131,,DC
237710034,199,10th & E St NW,31256,38.895914,-77.026064,YES,NO,,,NO,11,3,397738.97843831,136452.04567026,,DC
237710035,200,22nd & I St NW / Foggy Bottom,31257,38.90088,-77.048911,YES,NO,,,NO,8,7,395757.32337487,137004.12512577,,DC
